Molecular Weight,Smiles,Ligand Efficiency BEI,Ligand Efficiency BEI/MW
377.47,C[C@H]1CN(c2nc(N3CCOCC3)c3sc(C(N)=O)cc3n2)C[C@@H](C)O1,16.06,0.042546428
318.34,Nc1cc(-n2c(Nc3cccc(O)c3)nc3ccccc32)ncn1,17.14,0.053841804
321.35,Cc1nc(N)nc(-n2c(Nc3ccn(C)n3)nc3ccccc32)n1,19.41,0.060401431
524.01,CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(Cl)c(S(=O)(=O)NC)c4)n3)ccn2)cc1,15.48,0.029541421
476.6,C[C@H]1COCCN1c1cc(CS(C)(=O)=O)nc(-c2ccc(NC(=O)NCCN(C)C)cc2)n1,12.84,0.026940831
443.53,COc1ncc(-c2cc3c(C)nc(N)cc3n(C3CCCC3)c2=O)cc1NS(C)(=O)=O,16.24,0.036615336
615.66,COc1ncc(-c2cc3c(C)nc(N)cc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cc1NS(=O)(=O)c1ccc(F)cc1F,13.1,0.021277978
417.42,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,15.41,0.036917254
407.5,C[C@@H]1Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c2CN1c1ccnc2[nH]ccc12,14.62,0.035877301
319.37,CC(C)n1nc(-c2ccc3cc(O)ccc3c2)c2c(N)ncnc21,21.8,0.068259386
503.59,CC(C)[C@H]1CN(CC2CCNCC2)C(=O)N1c1ccn2ncc(-c3ccc(-c4nc[nH]n4)c(F)c3)c2n1,16.36,0.032486745
515.62,CCN1CCO[C@@H](CN2C[C@H](C(C)C)N(c3ccn4ncc(-c5ccc(-c6nc[nH]n6)cc5)c4n3)C2=O)C1,14.6,0.028315426
415.34,O=C1OC(C(F)(F)F)CN1c1ccn2ncc(-c3ccc(-c4nc[nH]n4)cc3)c2n1,17.45,0.042013772
403.45,CC(C)C[C@H]1COC(=O)N1c1ccn2ncc(-c3ccc(-c4nc[nH]n4)cc3)c2n1,20.14,0.049919445
442.41,O=C1OCC(c2ccccn2)N1c1ccn2ncc(-c3ccc(-c4nc[nH]n4)c(F)c3)c2n1,18.38,0.041545173
